id,Word,meaning
1417,بادگیر ,"    بادخن، بادغر ، حلقه فلزی و مشبک سر قلیان (غلیان) "
1418,بادمجان ," باذمجان، بادنجان، بادنگان "
1419,بادوام ,"  پایدار، پاینده، دیرپا، مستدام ، بی‌دوام ، محکم "
1420,باده‌پرست ," باده‌پیما، باده‌گسار، باده‌نوش، خراباتی، دائم‌الخمر، شراب‌خوار، می‌پرست، می‌خوار، می‌گسار، می‌خواره "
1421,باده‌پرستی ," باده‌گساری، شرابخواری، می‌پرست، می‌خوارگی"
1422,باده‌خوار ," باده‌پیما، باده‌گسار، باده‌نوش، شراب‌خواره، شراب‌خوار، می‌خواره"
1423,باده ," ساغر، شراب، صهبا، مسکر، مشروب، مل، می، نبیذ، سلاف "
1424,باده‌فروش ,"اسم خراباتی، خمار، می‌فروش"
1425,باده‌گسار ," باده‌پیما، باده‌نوش، شراب‌خور، می‌خواره، می‌گسار"
1426,باده‌گساری ," باده‌پیمایی، شراب‌خواری، می‌خواری، میگساری"
1427,باده‌نوش ," باده‌پیما، پیاله‌پیما، شراب‌خواره، شراب‌خوار، می‌خوار"
1428,باده‌نوشی ," باده‌پیمایی، باده‌گساری، شراب‌خواری، می‌خواری، می‌گساری "
1429,باد ,"  هوا ، آماس، آماه، نفخ، ورم ، پف، فوت، تیز، ریح ، توفان، شمیم، صرصر، نسیم، نفخه ، بادا، باشد ، افاده، خودبینی، تکبر، خودبزرگ بینی، غرور، فیس، نخوت ، ابهت، اهمیت، شکوه ، دم، نفس ، بارح، برآمدگی، دمل ، باطل، بیهوده، لغو "
1430,بادیانت ," دیندار، مومن، متدین، متقی ، بی‌دیانت"
1431,بادی ,"  منسوب به باد ، آبی، خاکی، ناری ، آغازگر ، خاتم ، آفریننده، خالق ، مخلوق ، آغاز، ابتدا، اوان، اول، شروع ، انتها، پایان ، دایم، همیشه "
1432,بادیه ,"  بیابان، تیه، صحرا، فلات، وادی، هامون ، ظرف، کاسه ، آبادی، شهر"
1433,بادیه‌نشین ,"اسم بادیه‌گرد، بیابان‌نشین، چادرنشین، صحراگرد، صحرانشین ، شهرنشین، آبادی‌نشین "
1434,باذکاوت ," باهوش، تیزفهم، ذکی، داهی، زیرک، هوشمند، هوشیار ، بله، بی‌ذکاوت، کودن"
1435,باذل ," بخشنده، سخی، بذل‌کننده، بادبدست، فراخ‌دست  ، ممسک، خسیس، کنس ، کم‌دهش، نابخشنده "
1436,باذوق ,"    خوش‌قریحه، ذوقمند، صاحب‌قریحه، صاحب‌ذوق ، خوش‌سلیقه، سلیقه‌دار ، بی‌ذوق، کج‌ذوق "
1437,بارآور ,"  بارور، ثمردار، مثمر، میوه‌دار، میوه‌دهنده ، آبستن، باردار، حامله ، بی‌بر، سترون، عقیم ، مفید، سودبخش "
1438,باران ," بارش، ذهاب، مطر"
1439,بارانداز ," اسکله، بندر، بندرگاه، لنگرگاه"
1440,بارانی ,"صفت  باشی، مطری ، باران‌زا ، آمپرمابل، پالتو ، مربوط به‌باران "
1441,باربر ,"  بارکش، باری ، حمال"
1442,باربردار ,"  بارکش، باری ، سواری ، باربر، حمال ، آبستن، باردار، حامله "
1443,بار ,"  پاس، دفعه، مرتبه، مرحله، مره، نوبت، وعده، وهله ، بر، ثمر، ثمره، حاصل، محصول، میوه ، بنه، توشه، حمل، محمول، محموله ، شرفیابی ، رستوران، کاباره، مشروب‌فروشی، میخانه ، ثقل، گرانی، وزن ، اجازه، رخصت ، کود ، جنین ، رنج، مشقت  "
1444,بارخدا ,"  خدا، خداوند، خدای‌متعال، باری، باری‌تعالی ، بلندمرتبه، بلندمقام "
1445,بارخدایی ,"  بزرگی، سروری، مولایی ، پادشاهی، سلطنت ، الوهیت، خدایی "
1446,بار دادن ,"    بر دادن، ثمردادن، میوه دادن ، کود دادن ، اجازه شرفیابی‌دادن، اجازه ورود دادن، اذن دخول دادن ، باریافتن "
1447,باردار ,"  آبستن، حامله ، باثمر، ثمردار، مثمر، میوه‌دار ، آمیخته، غش‌دار، مغشوش، ممزوج، نبهره ، باره‌دار "
1448,باردار شدن ," حامله شدن، آبستن شدن "
1449,بارداری ," آبستنی، حاملگی، حمل"
1450,باردان ,"  خرجین، خرجینه، کوله‌بار ، تنگ، صراحی "
1451,بارد ,"  خنک، سرد، یخ ، بی‌مزه، لوس، ناخوشایند ، بی‌ذوق، بی‌لطف ، سردمزاج، عنین، ناتوان ، حار "
1452,بارز ,"  آشکار، پیدا، روشن، صریح، مشخص، مشهود، واضح ، نامعلوم ، برجسته، چشمگیر، مبرز، ممتاز ، استثنایی، طراز اول، فوق‌العاده "
1453,بارش ,"  باران، مطر ، باریدن "
1454,بارغبت ," آرزومندانه، رغبت‌مند، طوع"
1455,بارقه ,"  اخگر، جرقه، شرر، شعله، وراغ ، تلالو، پرتو، نور ، خاکستر "
1456,بارک‌الله ," آفرین، احسنت، مرحبا"
1457,بارکش ,"صفت  باری ، سواری ، باربر ، غمگین، اندوهمند، اندوهگین "
1458,بارگاه ,"  ایوان، باره، سراپرده، صفه ، دربار، درگاه ، مقبره، آستانه، بارگه "
1459,بارگی ," اسب، باره، توسن، سمند، خرس "
1460,بارم ," معیار، مقیاس "
1461,بارندگی , بارش 
1462,بارو ," باره، برج‌وبارو، برج، حصار، حصن، دژ، دیوار، قلعه، کلات، کوت، کوشک"
1463,باروبنه بستن ,"  کوچ کردن، کوچیدن ، حرکت کردن، سفر کردن "
1464,بارور ," بارآور، برومند، ثمردار، پرثمر، حاصلخیز، مثمر، میوه‌دار ، بی‌بر، سترون، عقیم "
1465,بارورسازی ," القاح، تلقیح، گشن، لقاح، حاصل‌خیزسازی ، عقیم‌سازی"
1466,باروری ,"  ثمردهی، حاصلخیزی ، زایایی"
1467,بارها ," به‌دفعات، به‌کرات، مکرر"
1468,باره ,"  اسب، توسن، سمند، فرس، مرکب ، برج، دژ، قلعه ، بار، دفعه، کرت، مرتبه ، بار، حصار، دیوار، جرم ، باب، مورد ، روش، طرز"
1469,باری ,"صفت قید  به‌هرجهت، به‌هرحال، درهرصورت ، بارکش ، سواری ، باردار ، ثقیل، سنگین، گران، وزین ، سبک ، آفریننده، آفریدگار، باریتعالی، خالق ، آفریده، مخلوق ، باریک ، پهن، ضخیم، عرض "
1470,باریدن ,"  باران آمدن ، برف‌آمدن، تگرگ آمدن ، سرازیر شدن ، ریختن، فرو ریختن ، باراندن"
1471,باریک‌بین ," دقیق، روشندل، کنجکاو، موشکاف، نکته‌بین، نکته‌سنج، هوشیار، باریک‌اندیش "
1472,باریک‌بینی ," تدقیق، دقت‌فکر، زیرکی، کنجکاوی، موشکافی، نازک‌اندیشی، نکته‌بینی، نکته‌سنجی، هوشمندی، هوشیاری"
1473,باریک ,"  کم‌حجم، کم‌قطر، نازک ، ضخیم، ستبر ، تنگ، کم‌عرض ، پهن ، لاغر، نزار ، چاق ، باریک‌میان، خمیص ، رقیق ، پرمایه ، دقیق ، حساس، وخیم، خطرناک "
1474,باریکه ,"  باریک، لاغراندام، ظریف ، تکه باریک(کاغذ، پارچه و ) ، سطح دراز و کم‌عرض (زمین و ) ، باب، بغاز، تنگه ، اشعه، پرتو "
1475,بازآفرینی ,"  بازسازی، دوباره‌سازی، آفرینش مجدد ، توبه کردن "
1476,بازآیی ," بازگشت، برگشت، رجعت، مراجعت ، عزیمت"
1477,بازار ,"  بازارچه، بازارگاه، بازارگه، تیمچه، راسته، رسته، سوق ، میدان ، معامله، خریدوفروش ، سروکار "
1478,بازارچه ," بازار، پاساژ، تیمچه، سوق"
1479,بازارگان ,"صفت  ثروتمند، دارا، غنی ، فقیر، محتاج، ندار ، تاجر، سوداگر، بازرگان ، مفلس "
1480,بازاری ,"  تاجر، سوداگر، کاسب ، حسابگر ، عامی، بی‌نزاکت ، عامیانه، بی‌ارزش، پیش‌پاافتاده، مبتذل ، نامرغوب "
1481,بازبین ,"  کنترلچی ، مفتش، ممیز ، منتقد، منقد، نقاد ، خرده‌گیر عیب‌جو "
1482,بازبینی ,"  بررسی، رسیدگی، کنترل، معاینه ، تفتیش، ممیزی "
1483,بازپرس ," بازجو، دادیار، قاضی، مستنطق، متهم "
1484,بازپرسی ," استنطاق، دادرسی، رسیدگی، سیاست، سین‌جیم، مواخذه، محاکمه، یرغو ، قضاوت، حکم "
1485,بازپروری ,"  تربیت، پرورش، اصلاح ، آماده‌سازی، بازسازی‌جسمی "
1486,بازپسین ," آخر، آخرین، واپسین ، آغازین"
1487,بازتاب ,"  پیامد، عکس‌العمل، واتاب، واکنش ، انعکاس، پژواک، طنین ، پاسخ غیرارادی ، بازگشت "
1488,بازجست ,"  استفسار، پژوهش، تفحص، جستار، کاوش ، مطالبه"
1489,بازجو ," بازپرس، دادیار، قاضی، مستنطق"
1490,بازجویی ," استفسار، استنطاق، بازپرسی، پرسش، تحقیق"
1491,بازخواست ,"  استیضاح، پرسش، مواخذه، مطالبه ، اعتراض، ایراد ، سرزنش، عتاب "
1492,بازدارنده ," جلوگیر، عایق، مانع، محذور، جلوگیری‌کننده "
1493,بازداشت ,"اسم  اسیر، بندی، توقیف، حبس، دستگیر، زندانی، گرفتار، محبوس ، آزاد، رها ، منع، جلوگیری، نهی ، امر"
1494,بازداشت کردن,"به‌زندان انداختن، توقیف کردن، حبس کردن، زندانی کردن ، آزاد کردن"
1495,بازداشتگاه ," بند، توقیفگاه، حبس، دستاق‌خانه، زندان، سلول، سیاهچال"
1496,باز داشتن ,"  جلوگیری، ردع، ممانعت، منع، نهی ، امر ، جلوگیری کردن، مانع شدن، ممانعت کردن، منع کردن، نهی کردن ، امر کردن، فرمان دادن، حکم کردن، دستور دادن "
1497,بازده ,"  ثمر، حاصل، محصول، نتیجه ، راندمان، کارکرد، میزان تولید "
1498,بازدهی ," حاصل، راندمان "
1499,بازدید ,"  دیدار، دیدار مجدد، ملاقات، ویزیت ، کنترل، معاینه ، بررسی، سرکشی"
1500,بازرس ,"اسم  ناظر ، کارآگاه، ، مفتش"
1501,بازرسی ," بررسی، پژوهش، تحقیق، رسیدگی، تفتیش، سرکشی، نظارت"
1502,بازرگان ,"صفت  پیشه‌ور، تاجر، سوداگر، کاسب، محترف، معامله‌گر ، ثروتمند، دارا ، فقیر"
1503,بازرگانی ,"  تجارت ، دادوستد، سوداگری، معامله"
1504,بازسازی ," ترمیم، تعمیر، مرمت، نوسازی ، تخریب، ویران سازی، ویرانگری "
1505,باز شدن ,"  گشاده شدن، گشوده شدن، مفتوح شدن، وا شدن ، بسته شدن ، شکفته شدن، شکوفا شدن، وا شدن ، پژمرده‌شدن، خشکیدن"
1506,بازشناخت ,"بازشناسی، شناسایی"
1507,باز کردن ,"  گشادن، وا کردن، گشودن ، بستن، مسدود کردن ، دایر کردن، تاسیس کردن، ایجاد کردن ، جدا کردن ، شکافتن، تشریح کردن، شرح دادن ، از بین‌بردن )مانع( ، مرتفع ساختن ، گره‌گشایی کردن ، گره زدن"
1508,بازگرداندن ,"   بازگردانیدن، پس دادن، پس فرستادن، عودت‌دادن، واپس فرستادن، مسترد داشتن ، رجعت‌دادن ، نگه داشتن "
1509,بازگشایی ," افتتاح، گشایش ، تعطیل، تعطیلی"
1510,بازگشت ," اعاده، برگشت، رجعت، عدول، عطف، عقب‌نشینی، عود، مراجعت، نکس"
1511,باز گشتن ,"  آمدن، بازآمدن، برگشتن، رجعت کردن، مراجعت کردن ، عازم شدن، عزیمت کردن ، عود کردن ، پشیمان شدن، توبه کردن ، منصرف شدن ، مصمم شدن ، مرتبط بودن، ارتباط داشتن "
1512,بازگفت ," بیان، بیان‌کرد، تکرارمطلب، دوباره‌گویی، نقل، واگفت، واگویی "
1513,باز گفتن ,"  بیان کردن ، تکرار کردن، دوباره گفتن، واگفتن "
1514,بازگو ,"  راوی، روایتگر، قصه‌گو، ناقل، واگو ، بازگویه، تکرار ، روایت، نقل"
1515,بازگویی ," تکرار، تکریر، روایت، نقل، واگو، بیان "
1516,بازماندن ,"  ازکار ماندن، جداماندن، دنبال افتادن، عقب افتادن، عقب‌ماندن، واپس ماندن ، ایستادن، توقف کردن، متوقف شدن ، خسته شدن، کوفته شدن ، به‌جا گذاشتن، به جای ماندن، پس ماندن "
1517,بازمانده ,"صفت  به‌جامانده، بقیه، پس‌مانده، مانده ، دنبال‌مانده، عقب‌مانده، واپس‌مانده ، به هدف نرسیده ، خسته، درمانده، کوفته ، وارث ، خلف، خویش، قوم"
1518,بازنده ," شکست‌خورده، مغلوب ، برنده"
1519,بازنشستگی ," تقاعد ، اشتغال"
1520,بازنشسته ,"اسم بازنشست، متقاعد، وظیفه‌بگیر، وظیفه‌خور ، شاغل، موظف"
1521,بازنگری ," بازبینی، بررسی، وارسی "
1522,باز نمودن ,"  تشریح کردن، توضیح دادن، شرح دادن، نشان‌دادن، بیان کردن، تبیین کردن ، شناساندن، نشان دادن ، گزارش کردن "
1523,باز ,"قید اسم  نیز، هم، همچنین ، گشاده، منبسط، گشوده، مفتوح، وا ، بسته ، ازنو، دوباره ، دایر، برقرار، برپا ، سنقر، قوش ، قلیا ، اسید ، باج، باژ، خراج ، جدا ، روشن ، جدا، منفصل  روباز ، بی‌مانع، آزاد ، فاصله‌دار ، چا"
1524,بازو ,"  بازه، ساعد، عضد مرفق ، ران ، اهرم ، دسته ، توانایی، قدرت، قوت، نیرو ، یاور "
1525,بازوبند ,"  ساعدبند ، تعویذ، دعا"
1526,بازیار ,"    برزگر، دهقان، زارع، کشاورز ، شکارچی، صیاد، میرشکار ، بازجان، بازدار "
1527,بازیافت ,"  حاصل، یافته ، استحصال "
1528,باز یافتن ,"  دوباره پیدا کردن، پیدا کردن، دوباره به دست آوردن، دوباره‌یافتن ، گم کردن، از دست دادن ، استحصال کردن ، بازیابی کردن ، درک کردن، فهمیدن "
1529,بازیچه ,"  اسباب‌بازی، عروسک، لعبت، ملعبه ، آلت دست، مسخره، مضحکه "
1530,بازی دادن ,"    سرگرم ساختن، غافل نگاه داشتن، مشغول ساختن ، فریب دادن، گول زدن، نیرنگ زدن ، بازی‌خوردن "
1531,بازی‌کن," بازیگر، ورزشکار ، تماشاچی "
1532,بازیگر ,"صفت  آرتیست، بازیکن، ستاره، هنرپیشه، هنرمند ، تماشاچی، تماشاگر، تماشایی ، بازی‌کن ، نقش‌پرداز ، نیرنگ‌باز، فریب‌کار، حقه‌باز "
1533,بازی‌گوش,"بازی‌دوست، سربه‌هوا، تفنن‌جو، شیطان، متفنن ، آرام، عاقل، معقول"
1534,بازیگوشی ," تفنن‌جویی، سربه‌هوایی، شیطنت"
1535,بازی ,"  لعب، ملاعبه، ملعبه ، تفریح، تفنن، ، قمار، گنجفه ، ورزش ، فریب، حیله، نیرنگ ، جدی ، نقش ، حادثه، رویداد، پیش‌آمد ، شوخی "
1536,باژ ,"  باج، جزیه، خراج، مالیات ، نیایش "
1537,باژگونه ," باژگون، برعکس، سرنگون، معکوس، معلق، وارون، وارونه، واژگون، واژگونه"
1538,باستان ," دیرین، دیرینه، عتیق، کهن، گذشته، ، نو، نوین، جدید "
1539,باستان‌شناس ,"  دیرینه‌شناس ، عتیقه شناس "
1540,باستان‌شناسی,دیرینه‌شناسی 
1541,باستانی ," دیرینه، عتیقه، قدیم، قدیمی، کهن، کهنه ، جدید، نوین"
1542,باسخاوت ," بخشنده، بذال، سخاوتمند، سخی، کریم، گشاده‌دست ، خسیس"
1543,باسعادت ,"  سعادتمند، سعید، نیکبخت ، خجسته، سعد، فرخنده، مبارک، میمون ، بی‌سعادت، شقی"
1544,باسق ," بلند، بلندقد "
1545,باسکول ," ترازو، ترازوی بزرگ، قپان"
1546,باسمه ,"  چاپ، طبع ، تصویرچاپی، کلیشه "
1547,باسمه‌چی ," چاپچی، مطبعه‌چی ، چاپگر "
1548,باسن , کفل 
1549,باسواد ,"  تحصیل‌کرده، سواددار، ملا ، بی‌سواد ، بامعلومات ، بی‌مایه ، آگاه، مطلع "
1550,باسیل , باکتری
1551,باشخصیت ," متشخص، بامنش، فرهیخته، ممتاز، برجسته، محترم ، بی‌شخصیت "
1552,باشرافت ," شرافتمند، شریف، بزرگوار ، بی‌شرافت"
1553,باشرف ," بزرگوار، شرافتمند، شریف، عفیف، نجیب ، بی‌شرافت، نانجیب، بی‌شرف"
1554,باشعور ," بخرد، خردمند، شعورمند، عاقل، فهیم، لبیب، فهمیده ، بی‌شعور، کم‌خرد"
1555,باشکوه ," باشوکت، باعظمت، پرابهت، پرشکوه، پرجلال، شکوهمند، مجلل ، بی‌شکوه، بی‌ابهت "
1556,باشگاه ,"  انجمن، کانون، کلوب، مجمع، کلوپ، معهد ، زورخانه، ورزشگاه"
1557,باشگون ," خجسته، خوش‌شگون، شگون‌دار، هماگون، همایون خوش‌یمن، سعد، فرخنده، مبارک، میمون ، بی‌شگون، نامیمون، نحس"
1558,باشنده ,"  ساکن، مقیم ، اهل، شهروند "
1559,باشوکت ," باجلال، باشان، باشکوه، بامهابت، شکوهمند، شوکتمند، مجلل ، بی‌شکوه"
1560,باشهامت ," باجرات، دلاور، دلیر، نترس، شجاع، شهامت‌دار، صارم، صفدر ، کم‌جرات، بی‌شهامت "
1561,باشی ," رئیس، سالار، سردار، سردسته، سر گروه، سرور "
1562,باصرفه ,"  سودآور، سودرسان ، سوددار، فایده‌دار "
1563,باصره ,"  بینایی، دید، قوه‌دید ، سامعه ، چشم، دیده، عین ، گوش"
1564,باصفا ,"  مصفا، مفرح، خرم، نزیه ، بی‌روح، دلگیر، بی‌صفا ، صمیمی، صادق، بامحبت "
1565,باصلابت,"  باسطوت، باصولت، باوقار، باهیبت، صولتمند، موقر، هیبت‌دار ، بی‌صلابت، بی‌وقار، ناموقر ، محکم، استوار "
1566,باطراوت ," تازه، تر، خرم، شاداب ، بی‌طراوت، پژمرده"
1567,باطری ," باتری، پیل، قوه"
1568,باطلاق ," باتلاق، گنداب، مرداب، منجلاب، سیاه‌آب ، دریاچه"
1569,باطل ,"اسم  بی‌معنی، ناحق ، نادرست، غلط ، ناراست، ناصواب ، حق، راست، صواب ، ابطال، فسخ، لغو، ملغا ، بیکاره، عاطل ، بی‌فایده، بیهوده، مهمل ، ضایع ، عبث ، دروغ، غیرواقعی ، حق، صواب ، بی‌اعتبار، نامعتبر "
1570,باطل‌سازی ," ابطال، لغو"
1571,باطل شدن ,"  ابطال شدن، از اعتبار افتادن، فسخ شدن، لغو شدن، نامعتبراعلام شدن ، بی‌معنی شدن، بیهوده شدن ، ناحق جلوه‌گر شدن، ناراست قلمداد شدن ، ضایع شدن ، خط خوردن "
1572,باطل کردن ,"    ابطال کردن، فسخ کردن، لغو کردن، ملغا ساختن ، بی‌معنی کردن، بیهوده گردانیدن، مهمل گذاشتن ، ناحق جلوه دادن، ناراست قلمداد کردن ، ضایع گردانیدن ، خط زدن، قلم زدن ، ازاعتبار انداختن، نامعتبر اعلام کردن ، تبطیل "
1573,باطل‌کننده ," باطل‌ساز، مبطل"
1574,باطل‌نما ," پارادوکس، متناقض‌نما، نامعتبرنما "
1575,باطله ,"  بی‌اعتبار، نامعتبر، ازاعتبارافتاده ، به‌دردنخور ، لغو، واهی، پوچ "
1576,باطن ,"اسم  پنهان، ناپدید، نهان ، آشکار، آشکارا، عیان، معلوم ، اندرون، داخل، درون، دل، ضمیر، طینت، قلب، نیت ، برون، ظاهر ، اصل، حقیقت، صریح، ظاهر ، خلوت ، جلوت"
1577,باطنباطنی ,"  خفیه، درونی ، خفیه‌گرایی ، باطنیه ، اسماعیلیه ، ظاهری، قشری"
1578,باعاطفه ," بامحبت، پرمهر، رئوف، عطوف، مشفق، مهربان ، بی‌عاطفه"
1579,باعث ,"  انگیزه، سبب، علت، محرک، موجب، مورث، وسیله ، بانی، مسبب ، برانگیزاننده "
1580,باعث‌وبانی ,"  موسس ، سرپرست، حامی "
1581,باعرضه ," باجربزه، بالیاقت، باهمت، جراتمند، عرضه‌دار، عرضه‌مند، لایق ، بی‌عرضه، بی‌کفایت، نالایق "
1582,باعزم ," بااراده، پراستقامت، مصمم ، سست‌اراده، بی‌اراده "
1583,باعظمت ," باحشمت، باشکوه، بزرگ، شکوهمند، شگرف، عظیم، مجلل ، کوچک، معمولی، بی‌شکوه "
1584,باعفاف ," باعفت، پاک، پاکجامه، پاکدامن، عفیف، نجیب ، نانجیب، بی‌عفت"
1585,باعفت ," عفیف، پاک‌دامن ، بی‌عفت، بی‌عصمت "
1586,باغبان ," گلکار، بستان‌پیرا، بستانی، بستی، چمن‌پیرا، نگهبان باغ "
1587,باغبانی ,"  گل‌کاری، گل‌پروری ، بستانی، بستان‌پیرایی ، چمن‌پیرایی، باغداری "
1588,باغ ," بستان، بوستان، حدیقه، روضه، فردوس، گلستان، گلشن، لاله‌زار، ملک ، راغ"
1589,باغچه ," باغ‌کوچک، کاله، کرته "
1590,باغستان ," باغ، حدیقه، گلزار، گلستان، گلشن ، راغ، خارستان "
1591,باغیرت ,"  غیرتمند، غیور ، بی‌غیرت ، شجاع، باشهامت ، ناموس‌پرست، غیرتی ، باصفت، بامعرفت "
1592,باغی ,"  سرکش، نافرمان، یاغی، ظالم ، رام، فرمانبردار ، بستانی، بوستانی ، صحرایی، بیابانی"
1593,بافایده ," سودمند، سودده، مفید، پرمنفعت ، بی‌فایده "
1594,بافت ,"  بافتن ، لیف، ، نسج ، بافته، منسوج ، سلول، یاخته ، ساختار ، بافتار "
1595,بافت‌شناسی ," نسج‌شناسی، سیتولوژی "
1596,بافتن ,"    بافندگی کردن، نساجی کردن ، در هم تنیدن، به هم تابیدن، تاروپود درهم زدن ، سر هم زدن، حرف بی‌منطق زدن، گزافه‌گویی کردن ، از خود درآوردن "
1597,بافتنی ,"  بافته‌شده ، دست‌باف ، درخور بافتن، مناسب بافتن "
1598,بافتوت ," جوانمرد، راد، رادمرد ، بی‌فتوت، ناجوانمرد "
1599,بافته ,"صفت  پارچه، منسوج، نسیج ، تنیده "
1600,بافخامت ," فخیم، باشکوه، شکوهمند "
1601,بافراست ," زیرک، فهیم، باهوش، هوشمند، فراستمند "
1602,بافرهنگ ," آداب‌دان، فرهیخته، مودب، متادب، متمدن ، بی‌فرهنگ"
1603,بافضیلت ,"  باتقوا، متقی ، باکمال، دانشمند، فاضل ، فضیلت‌دار ، بی‌فضیلت"
1604,بافندگی ," پارچه‌بافی، جولاهی، نساجی"
1605,بافنده ,"اسم  پارچه‌باف، نساج ، جولاه، جولاهه، شعرباف ، قالی‌باف ، تریکوباف "
1606,بافهم ," فهیم، فهمیده، عاقل، دانا، باکمال "
1607,باقدرت ," توانا، توانمند، قادر، قدرتمند، قدیر، قوتمند، متنفذ ، ناتوان، غیرمتنفذ "
1608,باقلی ," باقلا، کالوسک "
1609,باقی ,"اسم  باقیمانده، بازمانده، مانده، موجود ، بقیه، تتمه، مابه‌التفاوت ، ابدی، پایا، پایدار، پاینده، دایم، مانا، نامیرا ، فانی ، حی، زنده ، مرده، میت ، برقرار، مستدام همیشگی ، فانی ، دیگر، سایر "
1610,باقی‌مانده,"الباقی، بازمانده، باقی، به جای مانده، بقایا، بقیه، پس‌مانده، تتمه، مابقی، مازاد، مانده"
1611,باک ,"  بیم، ترس، جبن، خوف، محابا، وحشت، هراس ، پروا، ملاحظه ، نگرانی، تشویش، اضطراب ، مخزن (سوخت) "
1612,باکتری ," باسیل، موجود ذره‌بینی، میکرب "
1613,باک داشتن ," اندیشه داشتن، بیم داشتن، ترسیدن، پروا کردن، واهمه داشتن، هراسیدن ، بی پروا بودن، بی‌پروایی کردن "
1614,باکره ," بتول، بکر، دختر، دوشیزه، عذرا، ناسفته ، بیوه، زن"
1615,باکفایت ," باجربزه، باعرضه، کاردان، باوجود، شایسته، لایق ، بی‌کفایت، نالایق "
1616,باکیاست ," سیاس، سیاستمدار، زیرک، هوشمند، کاردان، مدبر ، بی‌تدبیر، بی‌کیاست، نامدبر "
1617,باگذشت ," ایثارگر، جوانمرد، معفو ، بی‌گذشت، منتقم، انتقام‌جو "
1618,بالا آمدن ,"  برآمدن، صعود کردن ، افزوده شدن، زیاد شدن (سطح‌آب) ، متورم شدن، ورم کردن، آماس کردن ، باد کردن، برجسته شدن "
1619,بالا آوردن ,"  قی کردن، استفراغ کردن، شکوفه کردن ، دیوار ساختن، عمارت کردن ، ایجاد کردن، به وجود آوردن ، سبب شدن، باعث شدن "
1620,بالا انداختن ,"  نوشیدن، آشامیدن، سر کشیدن، بالا رفتن ، خوردن، بالاکشیدن ، به سوی بالا بردن "
1621,بالا ,"اسم  اوج، راس، زبر، سر، صدر، علو، فراز، فوق ، پایین، زیر، فرود ، مافوق ، قامت، قد، هیکل ، بلندا، بلندی ، عرشه ، بلند، رفیع ، والا ، صدر ، زیاد، گران، بیش از حد معمول ، برین، عالم علیا  میزان، مقدار ، جو، آسمان  "
1622,بالابان ,"  تبیره، دهل، طبل، کوس، نقاره ، نوعی شیپور ، نوعی شاهین "
1623,بالابر , آسانسور 
1624,بالا بردن ,"  افزایش دادن، افزودن، اضافه کردن، زیاد کردن ،  کاهش‌دادن، پایین آوردن ، بالا رفتن ، ترقی دادن، رفعت بخشیدن ، بزرگ کردن، بزرگ جلوه‌دادن "
1625,بالابلند ,"  بلندقد، بلندقامت، دراز، رشید ، کوتاه‌قد، کوتوله ، دراز، طولانی، مطول "
1626,بالابود , مازاد 
1627,بالاپوش ,"  لحاف ، روانداز ، ردا، طیلسان، عبا، فوطه ، پالتو، شنل ، زیرپوش "
1628,بالاجبار ,"  اجباری، اجبار"
1629,بالاجمال ," اجمالا، به‌اختصار، بالاختصار، مختصر"
1630,بالاخره ,"  آخرالامر، سرانجام، عاقبت، عاقبت‌الامر ، نخست، اولا ، القصه "
1631,بالاخص , مخصوص
1632,بالادار ,"  طرفدار، حامی ، بلندقد، بلند بالا، بلند قامت ، کوتاه قامت "
1633,بالادست ,"  بالا، سمت بالا ، پایین دست ، سرکرده، رئیس، مافوق، برتر "
1634,بالار ,"  بالاگر، تیر اصلی، تیرحمال، شاه تیر ، ستون، عمود "
1635,بالا رفتن ,"  افزایش یافتن، افزوده شدن ، ترقی کردن ، ساخته شدن، برافراشته شدن ، سر کشیدن، نوشیدن "
1636,بالاستقلال ," آزادانه، مستقلا، منفردا"
1637,بالاشتراک ,"  شریکی ، باهم "
1638,بالاصاله ,"  اصلا، در اصل، اساس"
1639,بالاضطرار ," اضطراری، اضطرار"
1640,بالا کشیدن ,"  تصاحب کردن، خوردن ، بالا دادن ، شدت یافتن، شدید شدن ، طولانی شدن "
1641,بالا گرفتن ,"  شدت‌یافتن، افزون شدن ، اوج گرفتن ، ترقی کردن "
1642,بالان ,"صفت    بالانه، دالان، دهلیز، راهرو سرپوشیده ، تله، دام ، بالنده، رشدیابنده، رشدکننده ، مجرب "
1643,بالانس ," تعادل، توازن، موازنه، هم‌سنگی ، بی‌تعادلی، عدم‌تعادل"
1644,بالانشین ,"صفت صدرنشین، مسندنشین، سدره‌نشین "
1645,بالایی ," زبرین، فرازین، فوقانی ، زیرین"
1646,بالبداهه , بداهت
1647,بال ,"  پر، جناح ، اندیشه، حال، دل، خاطر ، باله، مجلس‌رقص ، بالن، وال ، نهنگ "
1648,بالت ," اپرا، باله، رقص"
1649,بالذات ," اصلا، اساس"
1650,بالش ,"  بالشت، متکا، مخده، مسند، نازبالش ، بالین ، رشد، رویش، نمو ، بالندگی ، افتخار کردن، مباهات کردن "
1651,بالشت ," بالش، متکا، مخده"
1652,بالصراحه ," آشکارا، به‌وضوح، به‌تصریح، باصراحت، رک، تصریحا، صراحتا، صریحا، واضح ، تلویحا"
1653,بالطبع ,  طبع
1654,بالعکس ," برعکس، به عکس "
1655,بالغ ,"  بزرگ‌سال، جوان، رشید، مکلف، کبیر ، نابالغ ، رسا، رسیده "
